Arlis;4317;243;17.77
Gnomling;4454;440;10.12
Gotrek;2626;138;19.03
Grantelbart;2667;100;26.67
Harcort;4209;356;11.82
Modem;2683;163;16.46
Nóva;4396;416;10.57
Radogan;4411;262;16.84
Siladra;3220;313;10.29
Wongsen;3191;181;17.63
Fêbsy;2893;250;11.57
Aionara;1189;286;4.157
Antaresfm;4430;357;12.41
Belesh;3861;242;15.95
Bombalgir;4118;346;11.9
Chokeon;4024;147;27.37
Choult;4213;553;7.618
Crayven;2760;330;8.364
Darlia;324;100;3.24
Druidicas;1057;187;5.652
Eichenschuss;1312;147;8.925
Eskaliert;1680;198;8.485
Exts;4062;299;13.59
Fein;3620;222;16.31
Fipsoliene;488;100;4.88
Gurkenzauber;3277;336;9.753
Highwalker;4402;154;28.58
Hunksfox;348;100;3.48
Kaey;2786;224;12.44
Lariana;3396;234;14.51
Lomeluin;3726;369;10.1
Lorathos;219;100;2.19
Maddi;661;113;5.85
Maro;4622;158;29.25
Mastarc;1477;258;5.725
Morti;2784;142;19.61
Nadila;4365;167;26.14
Naiko;4423;296;14.94
Nessy;4492;538;8.349
Nithalf;3125;189;16.53
Pitscher;1108;187;5.925
Reax;3872;430;9.005
Rhyme;4622;362;12.77
Rhyper;1294;167;7.749
Ricárda;975;166;5.873
Riese;4601;293;15.7
Schellenmann;3995;367;10.89
Schmutzigé;453;100;4.53
Sorciyo;4542;311;14.6
Taradus;1449;128;11.32
Tasêrfacê;3367;250;13.47
Thio;1728;100;17.28
Tokiò;58;100;0.58
Trixxy;138;100;1.38
Tsubaky;2200;271;8.118
Tuv;78;100;0.78
Wysiwyg;4439;287;15.47
Xeelby;48;100;0.48
Xzoe;3856;231;16.69
Zann;4599;212;21.69
