Time;Item;Looter;GP Action;ID
2020-06-07 20:00:58;[Rune of Metamorphosis];Lomeluin;Bank-D/E;19340
2020-06-07 20:01:54;[Waistband of Wrath];Crayven;Bank-D/E;16960
2020-06-07 20:11:48;[Venomous Totem];Arlis;Bank-D/E;19342
2020-06-07 20:12:44;[Boots of Transcendence];Bombalgir;Offspec GP;16919
2020-06-07 20:13:38;[Nemesis Boots];Arlis;Bank-D/E;16927
2020-06-07 20:23:01;[Legguards of the Fallen Crusader];Zann;Mainspec GP;19402
2020-06-07 20:23:42;[Drake Talon Cleaver];Zumolicious;Bank-D/E;19353
2020-06-07 20:29:20;[Band of Dark Dominion];Arlis;Bank-D/E;19434
2020-06-07 20:38:47;[Netherwind Gloves];Lomeluin;Mainspec GP;16913
2020-06-07 20:39:08;[Aegis of Preservation];Faine;Bank-D/E;19345
2020-06-07 20:41:41;[Ring of Blackrock];Arlis;Bank-D/E;19397
2020-06-07 20:42:00;[Herald of Woe];Arlis;Bank-D/E;19357
2020-06-07 20:50:00;[Pauldrons of Transcendence];Faine;Bank-D/E;16924
2020-06-07 20:50:26;[Shimmering Geta];Sorci;Bank-D/E;19391
2020-06-07 20:51:17;[Netherwind Mantle];Xzoe;Bank-D/E;16917
2020-06-07 20:52:12;[Chromatic Boots];Hunksfox;Mainspec GP;19387
2020-06-07 20:59:42;[Breastplate of Wrath];Naalia;Bank-D/E;16966
2020-06-07 20:59:57;[Stormrage Chestguard];Arlis;Bank-D/E;16897
2020-06-07 21:00:25;[Crul'shorukh, Edge of Chaos];Zumolicious;Mainspec GP;19363
2020-06-07 21:00:48;[Therazane's Link];Rhyper;Bank-D/E;19380
2020-06-07 21:02:20;[Head of Nefarian];Belesh;Bank-D/E;19002
2020-06-14 19:47:03;[Judgement Bindings];Arlis;Bank-D/E;16951
2020-06-14 19:47:19;[Arcane Infused Gem];Arlis;Bank-D/E;19336
2020-06-14 19:48:40;[Netherwind Bindings];Xzoe;Offspec GP;16918
2020-06-14 19:52:19;[Judgement Belt];Arlis;Bank-D/E;16952
2020-06-14 19:52:51;[Stormrage Belt];Arlis;Bank-D/E;16903
2020-06-14 19:53:14;[Rune of Metamorphosis];Lomeluin;Bank-D/E;19340
2020-06-14 19:54:20;[Cloak of Draconic Might];Zann;Mainspec GP;19436
2020-06-14 20:06:06;[Lifegiving Gem];Zumolicious;Bank-D/E;19341
2020-06-14 20:06:42;[Nemesis Boots];Arlis;Bank-D/E;16927
2020-06-14 20:08:23;[Boots of Transcendence];Radogan;Offspec GP;16919
2020-06-14 20:13:15;[Handguards of Transcendence];Newk;Mainspec GP;16920
2020-06-14 20:13:47;[Legguards of the Fallen Crusader];Maro;Bank-D/E;19402
2020-06-14 20:28:01;[Dragonstalker's Gauntlets];Choult;Mainspec GP;16940
2020-06-14 20:28:46;[Malfurion's Blessed Bulwark];Nithalf;Offspec GP;19405
2020-06-14 20:30:44;[Bloodfang Gloves];Schellenmann;Bank-D/E;16907
2020-06-14 20:32:05;[Herald of Woe];Crayven;Bank-D/E;19357
2020-06-14 20:36:58;[Pauldrons of Wrath];Arlis;Bank-D/E;16961
2020-06-14 20:37:20;[Elementium Threaded Cloak];Arlis;Bank-D/E;19386
2020-06-14 20:37:40;[Dragonstalker's Spaulders];Rhyme;Mainspec GP;16937
2020-06-14 20:38:20;[Angelista's Grasp];Radogan;Bank-D/E;19388
2020-06-14 20:45:37;[Dragonstalker's Breastplate];Rhyme;Mainspec GP;16942
2020-06-14 20:45:56;[Nemesis Robes];Arlis;Bank-D/E;16931
2020-06-14 20:46:23;[Mish'undare, Circlet of the Mind Flayer];Wysiwyg;Mainspec GP;19375
2020-06-14 20:46:57;[Pure Elementium Band];Trixxy;Mainspec GP;19382
